Variable_Name,Field_ID,Type,Where,Extra_info,TimePoint
Recent trouble concentrating on things,120110.0.0,Dep_PHQ9,Online follow up,Experience of pain,pain
Recent changes in speed/amount of moving or speaking,120111.0.0,Dep_PHQ9,Online follow up,Experience of pain,pain
Recent thoughts of suicide or self-harm,120112.0.0,Dep_PHQ9,Online follow up,Experience of pain,pain
When health and well-being questionnaire completed,28755.0.0,For_age_date,Online follow up,Health and Well-being,hwell
"Feeling down, depressed or hopeless over the last 2 weeks",28738.0.0,Dep_Q1,Online follow up,Health and Well-being,hwell
Little interest of plreasure doing things over the last 2 weeks,28737.0.0,Dep_Q2,Online follow up,Health and Well-being,hwell
"Felling nervous, anxious or on edge over the last 2 weeks",28735.0.0,Dep_PHQ9,Online follow up,Health and Well-being,hwell
Not being able to stop or control worrying over the last 2 weeks,28736.0.0,Dep_PHQ9,Online follow up,Health and Well-being,hwell
When online depression questionnaire completed,29198.0.0,For_age_date,Online follow up ,Mental well-being,mwell
Recent feelings of depression,29003.0.0,Dep_Q1,Online follow up ,Mental well-being,mwell
Recent lack of interest or pleasure in doing things,29002.0.0,Dep_Q2,Online follow up ,Mental well-being,mwell
Recent feelings of tiredness or low energy,29005.0.0,Dep_Q4,Online follow up ,Mental well-being,mwell
Recent feelings of restlessness,29062.0.0,Dep_Q3,Online follow up ,Mental well-being,mwell
Recent trouble falling asleep or staying sleep or sleeping too much,29004.0.0,Dep_PHQ9,Online follow up ,Mental well-being,mwell
Recent poor appetite or overeating,29006.0.0,Dep_PHQ9,Online follow up ,Mental well-being,mwell
Recent feeling bad about yourself (inadequacy),29007.0.0,Dep_PHQ9,Online follow up ,Mental well-being,mwell
Recent trouble concentrating on things,29008.0.0,Dep_PHQ9,Online follow up ,Mental well-being,mwell
Recent changes in speed/amount of moving or speaking,29009.0.0,Dep_PHQ9,Online follow up ,Mental well-being,mwell
Recent thoughts of suicide or self-harm,29010.0.0,Dep_PHQ9,Online follow up ,Mental well-being,mwell
